id,name,type,make,model,year,notes
30000000-0000-0000-0000-000000000001,Frankenstrat,guitar,Homemade,,1975,"Hand-built by Eddie Van Halen from mixed parts; iconic black and white stripes; considered one of the most famous electric guitars ever built"
30000000-0000-0000-0000-000000000002,Blackie,guitar,Fender,Stratocaster,,"Assembled by Clapton from three 1950s Stratocasters purchased in 1970; his primary guitar from 1973 to 1985; sold at auction in 2004 for $959,500"
30000000-0000-0000-0000-000000000003,Brownie,guitar,Fender,Stratocaster,1956,"Used on the original Layla recording; sold at auction in 1999 for $497,500"
30000000-0000-0000-0000-000000000004,The Beano Les Paul,guitar,Gibson,Les Paul Standard,1960,"Used on the John Mayall & the Bluesbreakers album; named for the Beano comic visible in Clapton's hands on the cover"
30000000-0000-0000-0000-000000000005,,guitar,Taylor,914ce,,"Dave Matthews' preferred acoustic guitar"
30000000-0000-0000-0000-000000000006,,drums,DW,Collector's Series,,"Carter Beauford's custom DW kit"
30000000-0000-0000-0000-000000000007,,bass,Fender,Jazz Bass,,"Stefan Lessard's primary bass"
30000000-0000-0000-0000-000000000008,,violin,,,,"Boyd Tinsley's electric violin"
30000000-0000-0000-0000-000000000009,,other,Selmer,Mark VI,1967,"LeRoi Moore's alto saxophone"
30000000-0000-0000-0000-000000000010,,other,Yamaha,Custom EX,,"Jeff Coffin's primary saxophone"
